"time","close","open","high","low","volume","day_before_ratio"
"2021年01月21日","3,588,620","3,683,531","3,683,531","3,588,620","7.57K","-2.61%"
"2021年01月20日","3,684,869","3,733,460","3,733,460","3,684,869","8.23K","-1.38%"
"2021年01月19日","3,736,570","3,800,000","3,859,700","3,736,570","7.49K","-1.67%"
"2021年01月18日","3,800,000","3,717,500","3,800,000","3,717,500","7.11K","2.20%"
"2021年01月17日","3,718,340","3,742,517","3,742,517","3,718,340","8.52K","-0.65%"
"2021年01月16日","3,742,517","3,820,074","3,820,074","3,742,517","7.48K","-2.00%"
"2021年01月15日","3,818,830","4,063,031","4,063,031","3,818,830","11.85K","-6.01%"
"2021年01月14日","4,063,030","3,882,383","4,063,030","3,882,383","11.74K","4.65%"
"2021年01月13日","3,882,383","3,528,567","3,882,383","3,528,567","11.78K","9.97%"
"2021年01月12日","3,530,466","3,691,706","3,691,706","3,530,466","15.42K","-4.44%"
"2021年01月11日","3,694,473","3,975,000","3,975,000","3,694,473","29.22K","-7.15%"
"2021年01月10日","3,979,170","4,186,509","4,255,126","3,979,170","12.73K","-4.95%"
"2021年01月09日","4,186,509","4,225,266","4,225,266","4,186,509","8.16K","-0.92%"
"2021年01月08日","4,225,304","4,101,108","4,225,304","4,101,108","17.43K","3.03%"
"2021年01月07日","4,101,108","3,794,001","4,101,108","3,794,001","17.96K","8.07%"
"2021年01月06日","3,794,965","3,470,021","3,794,965","3,470,021","14.84K","9.36%"
"2021年01月05日","3,470,021","3,292,693","3,470,021","3,175,214","13.52K","5.39%"
"2021年01月04日","3,292,693","3,410,000","3,410,000","3,292,693","17.97K","-3.39%"
"2021年01月03日","3,408,276","3,318,029","3,408,276","3,318,029","14.37K","2.72%"
"2021年01月02日","3,317,996","3,010,042","3,317,996","3,010,042","15.07K","10.20%"
"2021年01月01日","3,010,800","2,968,795","3,010,800","2,968,795","7.05K","1.41%"
"2020年12月31日","2,968,795","2,957,123","2,968,795","2,957,123","10.21K","0.36%"
"2020年12月30日","2,958,167","2,827,970","2,958,167","2,827,970","12.12K","4.60%"
"2020年12月29日","2,827,954","2,805,138","2,827,954","2,805,138","7.18K","0.82%"
"2020年12月28日","2,805,000","2,720,240","2,818,350","2,720,240","7.28K","3.12%"
"2020年12月27日","2,720,240","2,744,909","2,921,377","2,720,240","16.58K","-0.88%"
"2020年12月26日","2,744,500","2,549,805","2,744,500","2,549,805","10.82K","7.61%"
"2020年12月25日","2,550,404","2,455,575","2,550,404","2,455,575","9.02K","3.84%"
"2020年12月24日","2,456,106","2,402,890","2,456,106","2,398,050","7.43K","2.15%"
"2020年12月23日","2,404,487","2,464,727","2,464,727","2,404,487","10.77K","-2.41%"
"2020年12月22日","2,463,800","2,352,054","2,463,800","2,341,283","7.37K","4.77%"
"2020年12月21日","2,351,534","2,430,772","2,430,772","2,351,534","12.76K","-3.29%"
"2020年12月20日","2,431,406","2,463,470","2,463,470","2,431,406","8.76K","-1.30%"
"2020年12月19日","2,463,470","2,384,389","2,463,470","2,384,389","9.27K","3.32%"
"2020年12月18日","2,384,389","2,345,936","2,384,389","2,345,936","10.29K","1.59%"
"2020年12月17日","2,347,031","2,204,169","2,347,031","2,204,169","20.42K","6.44%"
"2020年12月16日","2,205,000","2,011,544","2,205,000","2,011,544","11.76K","9.62%"
"2020年12月15日","2,011,544","2,000,099","2,011,817","1,990,412","6.22K","0.58%"
"2020年12月14日","1,999,890","1,988,187","1,999,890","1,988,187","4.43K","0.59%"
"2020年12月13日","1,988,187","1,957,880","1,988,187","1,957,880","5.99K","1.55%"
"2020年12月12日","1,957,880","1,875,668","1,957,880","1,875,668","3.46K","4.38%"
"2020年12月11日","1,875,668","1,899,694","1,899,694","1,875,668","5.23K","-1.26%"
"2020年12月10日","1,899,694","1,936,500","1,936,500","1,899,694","4.56K","-1.90%"
"2020年12月09日","1,936,500","1,911,000","1,936,500","1,911,000","7.40K","1.33%"
"2020年12月08日","1,911,000","1,997,150","1,997,150","1,911,000","6.03K","-4.31%"
"2020年12月07日","1,997,150","2,017,360","2,017,360","1,997,150","3.96K","-1.00%"
"2020年12月06日","2,017,360","1,995,555","2,017,360","1,995,555","4.50K","1.09%"
"2020年12月05日","1,995,555","1,947,001","1,995,555","1,947,001","2.93K","2.49%"
"2020年12月04日","1,947,001","2,018,000","2,018,000","1,947,001","7.17K","-3.52%"
"2020年12月03日","2,018,000","2,005,987","2,018,000","2,005,987","6.63K","0.60%"
